"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1000000US210670001011000","Block 1000, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","16","11","5",
"1000000US210670001011001","Block 1001, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","4","4","0",
"1000000US210670001011002","Block 1002, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011003","Block 1003, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","21","21","0",
"1000000US210670001011004","Block 1004, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","21","21","0",
"1000000US210670001011005","Block 1005, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","4","4","0",
"1000000US210670001011006","Block 1006, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","5","5","0",
"1000000US210670001011007","Block 1007, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011008","Block 1008, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","11","1","10",
"1000000US210670001011009","Block 1009, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","25","11","14",
"1000000US210670001011010","Block 1010, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","28","27","1",
"1000000US210670001011011","Block 1011, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","1","0","1",
"1000000US210670001011012","Block 1012, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","3","3","0",
"1000000US210670001011013","Block 1013, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","9","9","0",
"1000000US210670001011014","Block 1014, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","38","4","34",
"1000000US210670001011015","Block 1015, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011016","Block 1016, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","1","1","0",
"1000000US210670001011017","Block 1017, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011018","Block 1018, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","55","55","0",
"1000000US210670001011019","Block 1019, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","26","21","5",
"1000000US210670001011020","Block 1020, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011021","Block 1021, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011022","Block 1022, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","3","3","0",
"1000000US210670001011023","Block 1023, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011024","Block 1024, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","0","0","0",
"1000000US210670001011025","Block 1025, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","33","33","0",
"1000000US210670001011026","Block 1026, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","5","0","5",
"1000000US210670001011027","Block 1027, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","15","14","1",
"1000000US210670001011028","Block 1028, Block Group 1, Census Tract 1.01, Fayette County, Kentucky","2","0","2",
